Country Name,Series Name,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
United States,GDP per capita (current US$),36329.97026,37133.6204,37997.74243,39490.30239,41724.6412,44123.39965,46301.98765,48050.22741,48570.05943,47194.95009,48642.63121,50024.88123,51708.39406,53297.38629,55153.39402,56849.46979,57976.6282,60047.71907,62875.66614,65227.95659,64401.50744,71307.40173,77860.91129,82304.62043
United States,GDP growth (annual %),4.07758576,0.9555383419,1.700447328,2.795605965,3.847771694,3.483549935,2.784539638,2.003858299,0.1135872482,-2.576500232,2.695192582,1.564406855,2.289113386,2.117830098,2.523819814,2.945550456,1.819451476,2.457622302,2.966505069,2.58382533,-2.163029139,6.055052933,2.51237532,2.887556009
United States,"School enrollment, secondary (% gross)",..,..,..,..,..,95.0524826,..,..,..,..,..,..,..,96.18649292,96.92453766,97.65254974,98.76992798,98.95233917,99.27558136,100.0634308,100.509819,101.1924896,97.47348785,..
United States,"Life expectancy at birth, total (years)",76.63658537,76.83658537,76.93658537,77.03658537,77.48780488,77.48780488,77.68780488,77.98780488,78.03902439,78.3902439,78.54146341,78.64146341,78.74146341,78.74146341,78.84146341,78.6902439,78.53902439,78.53902439,78.63902439,78.78780488,76.9804878,76.32926829,77.43414634,78.38536585
United States,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),0.7,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1.2,1.2,1.2,1.2,1,1,0.5,0.5,1.2,1.2
United States,Gini index,40.1,40.6,40.4,40.8,40.5,41.3,41.7,41.1,41.1,40.8,40.2,41.2,41.2,40.9,41.7,41.5,41.3,41.4,41.8,41.9,40,39.7,41.7,41.8
United States,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.992,4.731,5.783,5.989,5.529,5.084,4.623,4.622,5.784,9.254,9.633,8.949,8.069,7.375,6.168,5.28,4.869,4.355,3.896,3.669,8.055,5.349,3.65,3.638
United States,"Inflation, consumer prices (annual %)",3.376857271,2.826171119,1.586031627,2.270094973,2.677236693,3.392746845,3.225944101,2.852672482,3.839100297,-0.3555462663,1.640043442,3.156841569,2.069337265,1.464832656,1.622222977,0.1186271356,1.261583206,2.130110004,2.442583297,1.812210075,1.233584396,4.697858864,8.002799821,4.116338384
Germany,GDP per capita (current US$),23925.85599,23878.36415,25486.5942,30711.10225,34566.73591,35084.43635,36980.33499,42350.92172,46386.32959,42487.21371,42409.9357,47646.58204,44735.58823,47220.01021,48971.08247,41911.01099,42961.03569,45526.59996,48874.8595,47623.86561,47379.76519,52265.65416,49686.11546,53940.40734
Germany,GDP growth (annual %),2.877245956,1.636540994,-0.2283102239,-0.5299290104,1.162368254,0.8856972567,3.855736146,2.890107179,0.9104032142,-5.545164545,4.14676755,3.757968845,0.474291321,0.386224592,2.169498898,1.652719787,2.294710664,2.716024546,1.116443109,0.9878933502,-4.095137517,3.669999884,1.369731046,-0.2664384012
Germany,"School enrollment, secondary (% gross)",99.12943268,99.55480194,100.8536072,101.2267838,101.3777771,101.4364929,102.4863968,102.0097733,103.2407303,103.3142929,104.8913574,105.3465118,104.4422379,103.9353333,103.3038712,102.1924133,100.8523102,101.0956421,100.8373032,101.1525574,101.3078003,101.203537,100.8172989,100.6030579
Germany,"Life expectancy at birth, total (years)",77.92682927,78.32926829,78.22926829,78.3804878,78.6804878,78.93170732,79.13170732,79.53414634,79.73658537,79.83658537,79.98780488,80.43658537,80.53902439,80.4902439,81.0902439,80.64146341,80.9902439,80.99268293,80.89268293,81.29268293,81.04146341,80.7902439,80.60804878,80.54146341
Germany,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0.2,..,..,..
Germany,Gini index,28.9,29.9,29.8,29.8,30.2,31.7,31,31.2,30.8,30.5,30.2,30.6,31.1,31.5,30.8,31.7,31.4,31.3,31.9,31.8,32.4,..,..,..
